Date,Open,High,Low,Close,Adj Close,Volume
2018-03-13,372.980011,372.989990,370.089996,371.100006,286.903809,8000
2018-03-14,372.019989,374.470001,369.000000,374.470001,289.509277,6600
2018-03-15,373.299988,374.739990,372.100006,374.589996,289.601929,10800
2018-03-16,374.179993,376.799988,373.000000,375.279999,290.135437,13600
2018-03-19,374.600006,383.649994,371.000000,380.760010,294.372162,23500
2018-03-20,380.500000,380.500000,373.190002,376.170013,290.823456,9800
2018-03-21,376.000000,376.000000,372.690002,372.690002,288.133057,8100
2018-03-22,370.200012,380.489990,370.200012,375.519989,290.321045,11400
2018-03-23,375.429993,375.429993,371.010010,372.619995,288.079010,8400
2018-03-26,375.709991,375.709991,372.010010,373.450012,288.720642,10900
2018-03-27,374.959991,379.670013,373.019989,377.959991,292.207397,10000
2018-03-28,378.890015,387.739990,375.540009,387.440002,299.536621,8100
2018-03-29,387.429993,387.429993,381.230011,381.230011,294.735535,8800
2018-04-02,380.350006,382.869995,379.459991,380.579987,294.233002,8600
2018-04-03,381.000000,389.489990,381.000000,386.579987,298.871582,4200
2018-04-04,384.709991,395.000000,384.709991,392.880005,303.742401,4300
2018-04-05,386.200012,397.000000,386.200012,390.940002,302.242523,11600
2018-04-06,389.649994,390.130005,388.649994,388.649994,300.472046,2900
2018-04-09,390.000000,395.899994,387.290009,393.959991,304.577301,6400
2018-04-10,395.260010,395.989990,390.480011,393.910004,304.538666,9700
2018-04-11,392.010010,393.119995,389.209991,393.119995,303.927826,8400
2018-04-12,393.869995,393.869995,385.019989,386.410004,298.740295,6800
2018-04-13,387.000000,387.209991,379.799988,380.260010,293.985596,8400
2018-04-16,387.899994,393.170013,385.970001,392.600006,303.525848,10800
2018-04-17,394.709991,401.839996,392.500000,397.380005,307.221344,15000
2018-04-18,398.350006,399.000000,393.070007,396.829987,306.796112,13800
2018-04-19,397.519989,398.579987,393.049988,394.839996,305.257538,24000
2018-04-20,394.720001,398.000000,386.640015,388.269989,300.178192,6600
2018-04-23,389.600006,390.399994,386.720001,389.799988,301.361115,6100
2018-04-24,389.529999,391.600006,385.220001,389.440002,301.082733,9100
2018-04-25,389.619995,389.619995,385.399994,388.000000,299.969513,3700
2018-04-26,390.019989,390.019989,387.019989,387.500000,299.582916,7200
2018-04-27,387.970001,395.640015,387.970001,394.000000,304.608246,10500
2018-04-30,396.529999,400.309998,392.549988,393.350006,304.105682,14200
2018-05-01,393.489990,394.130005,385.010010,385.119995,297.742889,11300
2018-05-02,384.839996,390.380005,381.369995,387.869995,299.869049,9800
2018-05-03,386.920013,391.010010,385.500000,388.119995,300.062286,5800
2018-05-04,381.959991,388.750000,381.959991,387.420013,303.034607,2300
2018-05-07,385.859985,390.000000,385.500000,387.559998,303.144135,3900
2018-05-08,388.480011,389.510010,387.000000,387.950012,303.449158,5800
2018-05-09,389.109985,393.750000,388.989990,391.589996,306.296265,4300
2018-05-10,392.820007,392.820007,389.500000,390.410004,305.373352,2800
2018-05-11,390.510010,393.970001,390.510010,393.500000,307.790253,6600
2018-05-14,393.049988,393.049988,387.079987,388.070007,303.543030,4300
2018-05-15,387.000000,387.299988,381.760010,383.429993,299.913666,9600
2018-05-16,384.980011,387.089996,384.170013,384.920013,301.079163,4100
2018-05-17,384.279999,387.910004,383.079987,384.200012,300.515961,3700
2018-05-18,384.290009,385.000000,384.049988,384.049988,300.398651,3100
2018-05-21,387.429993,394.489990,385.540009,389.950012,305.013519,3900
2018-05-22,390.010010,390.579987,385.269989,385.790009,301.759705,8800
2018-05-23,385.649994,386.299988,382.299988,386.239990,302.111603,4000
2018-05-24,387.179993,387.179993,382.829987,383.220001,299.749390,3700
2018-05-25,383.269989,386.290009,383.269989,385.410004,301.462372,3100
2018-05-29,383.630005,388.089996,383.489990,386.540009,302.346313,10300
2018-05-30,386.910004,390.100006,386.910004,389.000000,304.270416,8900
2018-05-31,389.470001,389.559998,385.660004,387.500000,303.097137,6400
2018-06-01,389.119995,390.000000,387.839996,388.000000,303.488251,6800
2018-06-04,389.540009,391.959991,386.250000,388.000000,303.488251,8000
2018-06-05,386.910004,389.070007,386.910004,386.950012,302.666992,9200
2018-06-06,386.940002,387.809998,385.500000,386.649994,302.432281,6800
2018-06-07,385.619995,386.000000,384.450012,384.720001,300.922699,3000
2018-06-08,385.420013,386.920013,381.850006,381.850006,298.677795,5000
2018-06-11,381.000000,384.100006,379.600006,382.429993,299.131470,4100
2018-06-12,382.200012,382.200012,378.059998,380.950012,297.973846,8200
2018-06-13,383.820007,383.820007,378.130005,378.130005,295.768066,3000
2018-06-14,378.899994,383.850006,378.899994,383.040009,299.608673,4600
2018-06-15,382.950012,384.989990,381.299988,384.690002,300.899170,14500
2018-06-18,383.549988,385.000000,383.549988,384.230011,300.539398,8400
2018-06-19,385.500000,385.500000,381.350006,381.489990,298.396210,7300
2018-06-20,381.839996,388.019989,381.839996,384.799988,300.985352,7800
2018-06-21,384.369995,385.450012,384.369995,384.989990,301.133820,4800
2018-06-22,387.500000,387.500000,384.559998,385.000000,301.141724,13900
2018-06-25,385.790009,387.850006,382.850006,384.989990,301.133820,5000
2018-06-26,385.589996,386.380005,382.510010,384.899994,301.063507,15400
2018-06-27,384.649994,385.119995,382.260010,383.790009,300.195313,5100
2018-06-28,382.649994,385.000000,382.089996,383.730011,300.148315,5200
2018-06-29,383.720001,387.630005,382.630005,382.630005,299.287903,6100
2018-07-02,382.200012,385.000000,381.480011,383.500000,299.968414,4900
2018-07-03,386.529999,386.529999,386.529999,386.529999,302.338440,1800
2018-07-05,386.679993,386.679993,384.100006,384.170013,300.492462,9700
2018-07-06,385.299988,385.299988,383.309998,384.850006,301.024384,5500
2018-07-09,383.700012,384.799988,382.359985,384.799988,300.985352,2900
2018-07-10,385.359985,385.359985,383.000000,384.510010,300.758484,6400
2018-07-11,382.899994,385.510010,382.899994,384.640015,300.860138,4900
2018-07-12,383.100006,384.410004,380.619995,382.299988,299.029724,3100
2018-07-13,383.130005,383.880005,381.510010,383.880005,300.265656,3400
2018-07-16,384.250000,384.250000,380.000000,383.529999,299.991943,7800
2018-07-17,383.579987,384.000000,381.429993,381.720001,298.576141,4800
